Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
44.0, 95033.64950819606, 89687.69337984246, 98628.90525208774, 101252.97769939635, 80244.14840270858, 86406.61375601456, 86558.67267354402, 83761.79888985144, 111262.35708741631, 94747.88245533497, 48985.904334295315, 88414.38155345697, 105261.6960122223, 101164.84477100907, 88449.58555097408, -187423.98171710753, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 206.0, 0.0, 0.0, 0.0, 1.6558068682930987E9, 0.0, 2022-06-21 19:21:08.293
46.0, 95181.93098091257, 89512.52275854621, 94248.43272548112, 99028.12975980398, 80276.58078391323, 86393.35917155257, 84937.03126156703, 82820.43282037173, 111832.86301289356, 97933.78835127216, 55355.615062190904, 94125.67694493258, 105216.38902621139, 101212.76691112125, 88884.95282947455, -187092.84062300215, 0.0, 0.0, 0.0, 196.0, 0.0, 88.0, 0.0, 121.0, 40.0, 214.0, 0.0, 0.0, 0.0, 1.6558068683019724E9, 0.0, 2022-06-21 19:21:08.301
48.0, 94999.45133917945, 89707.65348764104, 98044.29537585919, 100979.50410598566, 80255.7936615698, 86432.54177958272, 86426.73032602434, 83704.80194149041, 111174.26886251794, 94367.1204885388, 48606.81874833331, 87636.7867156013, 105274.07887865054, 101160.64264305147, 88306.51203471566, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 64.0, 0.0, 121.0, 40.0, 222.0, 0.0, 0.0, 0.0, 1.655806868310063E9, 0.0, 2022-06-21 19:21:08.310
50.0, 95150.16915204158, 89477.40816800692, 94927.29990807771, 99345.72569676944, 80272.24454548891, 86397.0919128766, 85117.27572885463, 82912.81258020551, 111887.37891762007, 98231.42418043902, 55540.68750628085, 94761.87464736399, 105223.13925303689, 101249.35671679459, 89034.8659795363, -187019.07986629964, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 230.0, 0.0, 0.0, 0.0, 1.6558068683170335E9, 0.0, 2022-06-21 19:21:08.317
52.0, 95037.51635998682, 89713.1296650326, 97333.91223358062, 100630.68278201614, 80245.60126609818, 86423.33286086713, 86206.63269837292, 83590.04808545686, 111093.46730631201, 94110.99184882545, 48509.99099135292, 87097.55088061701, 105262.38891630042, 101135.42987530588, 88161.58332366745, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 238.0, 0.0, 0.0, 0.0, 1.6558068683250487E9, 0.0, 2022-06-21 19:21:08.325
54.0, 95126.34219245223, 89498.28469732818, 95683.99586486768, 99714.77534947102, 80269.27176347635, 86387.83829067211, 85338.37918500653, 83028.48285776173, 111930.98717105236, 98397.09531034176, 55533.467892821776, 95151.44320147553, 105227.5872501835, 101248.73086794984, 89147.02703321303, -186972.45412736587, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 246.0, 0.0, 0.0, 0.0, 1.6558068683340747E9, 0.0, 2022-06-21 19:21:08.334
56.0, 95054.16840960603, 89700.92561256, 96549.81303808845, 100246.90332971852, 80232.92782699202, 86418.92956720943, 85960.62939889781, 83457.52459258135, 111039.5548986858, 94024.87057743914, 48663.68158622761, 86839.56704611387, 105258.03032613163, 101122.89054666646, 88051.0315955915, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 112.0, 0.0, 121.0, 40.5, 126.0, 0.0, 0.0, 0.0, 1.6558068683410852E9, 0.0, 2022-06-21 19:21:08.341
58.0, 95096.65907581558, 89482.77258667619, 96480.54498202146, 100104.23214486029, 80265.31550470776, 86389.80524418417, 85591.57974619625, 83165.11907161702, 111947.19218578246, 98431.53934854739, 55298.12637545185, 95286.62655194123, 105247.05561960407, 101257.0010133983, 89222.35241202741, -186959.4230603484, 0.0, 0.0, 0.0, 196.0, 17.0, 184.0, 0.0, 121.0, 41.0, 6.0, 0.0, 0.0, 0.0, 1.6558068683490503E9, 0.0, 2022-06-21 19:21:08.349
60.0, 95063.95847367746, 89688.09571124264, 95743.00447022969, 99850.80806622602, 80242.67318757453, 86406.77021822575, 85719.09644831378, 83326.00692820632, 111021.8076135883, 94079.29707518782, 49049.36093680393, 86887.01979959248, 105260.15374185488, 101108.54072672615, 87998.79556879945, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 14.0, 0.0, 0.0, 0.0, 1.6558068683570793E9, 0.0, 2022-06-21 19:21:08.357
62.0, 95101.75527355139, 89515.20496788085, 97251.03196514034, 100488.14570762464, 80263.84028957371, 86395.95197390938, 85830.45283919011, 83297.30728832571, 111968.47104650391, 98318.88655649264, 54842.66487868606, 95133.49475067791, 105236.21502354325, 101265.51702803577, 89265.04424393705, -186964.36279587302, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 22.0, 0.0, 0.0, 0.0, 1.6558068683661027E9, 0.0, 2022-06-21 19:21:08.366
