Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
40.0, 96432.64519365373, 91328.80316124001, 97705.97937178366, 101201.12165226003, 81018.39047889596, 87400.37231449751, 85643.25697937692, 83315.32279435669, 114177.2480818329, 99541.32581249785, 55303.535497610035, 95451.9847574216, 107979.15404786516, 105852.40791468715, 89468.35571150252, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 158.0, 0.0, 0.0, 0.0, 1.6558069913790574E9, 0.0, 2022-06-21 19:23:11.379
42.0, 96462.39536552374, 91511.3498582065, 95125.6492883741, 100125.84628174857, 81020.71506031931, 87425.54037875419, 85238.17631461339, 83213.95763325186, 113197.54877061234, 94740.70754536481, 48695.33165637632, 86706.77533230488, 108157.0739337294, 105858.80051360137, 88353.27188411617, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 166.0, 0.0, 0.0, 0.0, 1.6558069913881974E9, 0.0, 2022-06-21 19:23:11.388
44.0, 96411.36633293227, 91314.40863781079, 98540.92878591166, 101543.95270871553, 81013.56250209361, 87380.68042763238, 85892.9706684316, 83468.18637468653, 114155.65629668908, 99236.11274196062, 54471.84943817252, 94962.25803640581, 107984.92079793464, 105839.75682732544, 89470.5685342036, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 174.0, 0.0, 0.0, 0.0, 1.6558069913941524E9, 0.0, 2022-06-21 19:23:11.394
46.0, 96489.99976992606, 91496.28478244362, 94354.96113955512, 99797.02976906655, 81047.33598796559, 87446.61807377555, 85022.19140794175, 83075.17565192886, 113266.95093714607, 95134.2547099894, 49638.843493323744, 87385.84368060157, 108149.20611968114, 105853.95018505456, 88381.88211701896, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 72.0, 0.0, 123.0, 9.0, 182.0, 0.0, 0.0, 0.0, 1.6558069914020915E9, 0.0, 2022-06-21 19:23:11.402
48.0, 96348.78144845742, 91322.2541001146, 99261.66078587304, 101844.42720942822, 80998.36331586402, 87365.1683169804, 86090.38127546088, 83603.28031817441, 114095.70891805994, 98801.95245766074, 53494.89939151995, 94249.86323712626, 108000.92464696463, 105852.92200480963, 89438.87376056597, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 48.0, 0.0, 123.0, 9.0, 190.0, 0.0, 0.0, 0.0, 1.655806991411062E9, 0.0, 2022-06-21 19:23:11.411
50.0, 96510.54102308048, 91472.74839553218, 93728.59820468405, 99530.82049260385, 81050.91226707844, 87460.92319022694, 84803.79251286895, 82933.19737114875, 113355.48619693353, 95676.82095489753, 50746.1265618952, 88314.75982841967, 108133.47049158461, 105848.0269727739, 88440.68955668087, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 198.0, 0.0, 0.0, 0.0, 1.655806991418035E9, 0.0, 2022-06-21 19:23:11.418
52.0, 96312.4375119731, 91337.52034157758, 99792.93939983123, 102066.87177024744, 80985.75693199121, 87361.90496228993, 86266.5130217687, 83730.19352319164, 113996.33306221165, 98239.51551193185, 52373.33355824156, 93279.08227194336, 108021.15297569669, 105869.52935093992, 89367.61639924246, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 206.0, 0.0, 0.0, 0.0, 1.655806991426211E9, 0.0, 2022-06-21 19:23:11.426
54.0, 96549.81303808845, 91472.3907676209, 93303.8703565443, 99356.18631317453, 81074.9850958568, 87487.83469055113, 84685.79765388939, 82844.14802123881, 113449.38587539029, 96316.0361428304, 51919.97312545456, 89425.66387959289, 108124.19451763565, 105872.07744980782, 88532.93520604793, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 214.0, 0.0, 0.0, 0.0, 1.655806991435121E9, 0.0, 2022-06-21 19:23:11.435
56.0, 96307.27425900391, 91372.25495246112, 100119.8336624901, 102209.23003068329, 80992.10482741652, 87359.35686342203, 86401.67402048994, 83837.28073087701, 113898.67829068641, 97592.43250995071, 51192.17797424531, 92153.02373802946, 108051.1043132668, 105893.13279308472, 89271.66036029582, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 88.0, 0.0, 123.0, 9.0, 222.0, 0.0, 0.0, 0.0, 1.655806991442057E9, 0.0, 2022-06-21 19:23:11.442
58.0, 96571.27071276554, 91456.72219475773, 93134.95822369555, 99273.68602438999, 81085.71393319535, 87481.73266431483, 84598.51409179141, 82762.3853400213, 113594.29223469405, 96987.81782243465, 53041.87423489979, 90624.90202485348, 108108.97297966159, 105856.47593217801, 88658.66376860903, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 40.0, 0.0, 123.0, 9.0, 230.0, 0.0, 0.0, 0.0, 1.6558069914501193E9, 0.0, 2022-06-21 19:23:11.450
